Hybridization REF	CTBP1|1487	AR|367
TCGA-HC-7817-01B-11R-A29R-07	2973.5329	208.199
TCGA-EJ-A8FS-01A-11R-A352-07	2973.2831	1162.1181
TCGA-CH-5788-01A-11R-1580-07	2966.4646	1730.8802
TCGA-YL-A9WJ-01A-11R-A37L-07	2965.8396	933.7427
TCGA-TP-A8TV-01A-11R-A41O-07	2964.1954	803.0976
TCGA-ZG-A9L6-01A-11R-A41O-07	2963.4938	456.587
TCGA-V1-A8ML-01A-11R-A37L-07	2958.6526	262.1652
TCGA-V1-A9OF-01A-11R-A41O-07	2955.9999	764.1265
TCGA-XK-AAJT-01A-11R-A41O-07	2954.315	192.9171
TCGA-V1-A9OA-01A-11R-A41O-07	2946.0083	348.0663
TCGA-G9-6370-01A-11R-1789-07	2945.6612	627.2984
TCGA-CH-5764-01A-21R-1580-07	2945.0357	1306.7526
TCGA-KK-A6E1-01A-11R-A311-07	2938.165	785.8383
TCGA-XK-AAIV-01A-11R-A41O-07	2934.2784	734.9804
TCGA-XK-AAK1-01A-11R-A41O-07	2934.2362	204.3112
TCGA-CH-5768-11A-01R-1580-07	2933.041	540.3112
TCGA-V1-A8X3-01A-11R-A37L-07	2927.9285	863.1194
TCGA-EJ-7791-01A-11R-2118-07	2918.0292	1441.8712
TCGA-YL-A9WH-01A-11R-A37L-07	2908.2987	535.3485
TCGA-HC-7740-01A-11R-2118-07	2899.7973	760.1351
TCGA-ZG-A9L4-01A-11R-A41O-07	2895.997	313.0176
TCGA-ZG-A9LN-01A-11R-A41O-07	2893.3432	92.2058
TCGA-ZG-A9L0-01A-11R-A41O-07	2882.1358	495.5709
TCGA-G9-7510-01A-11R-2263-07	2876.2824	567.0337
TCGA-HC-7079-01A-11R-1965-07	2871.874	406.0995
TCGA-G9-6333-01A-12R-1965-07	2865.0019	174.4841
